chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
java/org/jfree/chart/plot/compass/PointerNeedle.java,org.jfree.chart.plot.compass.PointerNeedle,98.0,36.0,0.36734694,11.0,0.033395175
java/org/jfree/data/statistics/MultiValueCategoryDataset.java,org.jfree.data.statistics.MultiValueCategoryDataset,27.0,23.0,0.8518519,0.0,Infinity
java/org/jfree/chart/swing/editor/DefaultPolarPlotEditor.java,org.jfree.chart.swing.editor.DefaultPolarPlotEditor,138.0,50.0,0.36231884,13.0,0.027870681
java/org/jfree/data/general/WaferMapDataset.java,org.jfree.data.general.WaferMapDataset,245.0,141.0,0.5755102,26.0,0.022135008
java/org/jfree/data/resources/DataPackageResources_ru.java,org.jfree.data.resources.DataPackageResources_ru,18.0,11.0,0.6111111,1.0,0.6111111
java/org/jfree/chart/internal/ArrayUtils.java,org.jfree.chart.internal.ArrayUtils,145.0,48.0,0.33103448,27.0,0.012260537
java/org/jfree/data/statistics/SimpleHistogramBin.java,org.jfree.data.statistics.SimpleHistogramBin,220.0,97.0,0.4409091,30.0,0.01469697
java/org/jfree/chart/text/TextAnchor.java,org.jfree.chart.text.TextAnchor,138.0,97.0,0.70289856,8.0,0.08786232
java/org/jfree/chart/urls/CustomCategoryURLGenerator.java,org.jfree.chart.urls.CustomCategoryURLGenerator,138.0,58.0,0.42028984,18.0,0.023349436
java/org/jfree/chart/internal/CloneUtils.java,org.jfree.chart.internal.CloneUtils,128.0,50.0,0.390625,11.0,0.035511363
java/org/jfree/chart/renderer/xy/CandlestickRenderer.java,org.jfree.chart.renderer.xy.CandlestickRenderer,733.0,374.0,0.5102319,66.0,0.0077307867
java/org/jfree/chart/renderer/category/GroupedStackedBarRenderer.java,org.jfree.chart.renderer.category.GroupedStackedBarRenderer,242.0,83.0,0.3429752,22.0,0.015589782
java/org/jfree/chart/axis/PeriodAxis.java,org.jfree.chart.axis.PeriodAxis,957.0,410.0,0.42842215,97.0,0.0044167233
java/org/jfree/chart/axis/ExtendedCategoryAxis.java,org.jfree.chart.axis.ExtendedCategoryAxis,179.0,97.0,0.54189944,16.0,0.033868715
java/org/jfree/data/statistics/DefaultMultiValueCategoryDataset.java,org.jfree.data.statistics.DefaultMultiValueCategoryDataset,324.0,149.0,0.45987654,31.0,0.014834727
java/org/jfree/chart/legend/LegendTitle.java,org.jfree.chart.legend.LegendTitle,556.0,259.0,0.46582735,57.0,0.00817241
java/org/jfree/chart/axis/NumberTick.java,org.jfree.chart.axis.NumberTick,46.0,32.0,0.6956522,1.0,0.6956522
java/org/jfree/chart/event/AnnotationChangeEvent.java,org.jfree.chart.event.AnnotationChangeEvent,30.0,19.0,0.6333333,1.0,0.6333333
java/org/jfree/data/xy/MatrixSeries.java,org.jfree.data.xy.MatrixSeries,164.0,93.0,0.56707317,19.0,0.029845957
java/org/jfree/data/statistics/MeanAndStandardDeviation.java,org.jfree.data.statistics.MeanAndStandardDeviation,130.0,70.0,0.53846157,13.0,0.04142012
java/org/jfree/chart/renderer/xy/XYItemRenderer.java,org.jfree.chart.renderer.xy.XYItemRenderer,1254.0,1120.0,0.8931419,0.0,Infinity
java/org/jfree/chart/text/TextUtils.java,org.jfree.chart.text.TextUtils,613.0,280.0,0.45676997,69.0,0.006619855
java/org/jfree/chart/labels/XYZToolTipGenerator.java,org.jfree.chart.labels.XYZToolTipGenerator,16.0,13.0,0.8125,0.0,Infinity
java/org/jfree/chart/swing/OverlayChangeListener.java,org.jfree.chart.swing.OverlayChangeListener,11.0,8.0,0.72727275,0.0,Infinity
java/org/jfree/chart/ChartRenderingInfo.java,org.jfree.chart.ChartRenderingInfo,189.0,105.0,0.5555556,19.0,0.029239768
java/org/jfree/chart/plot/compass/LongNeedle.java,org.jfree.chart.plot.compass.LongNeedle,119.0,40.0,0.33613446,11.0,0.030557679
java/org/jfree/chart/ChartFactory.java,org.jfree.chart.ChartFactory,1534.0,835.0,0.5443286,117.0,0.004652381
java/org/jfree/data/xy/XYIntervalSeriesCollection.java,org.jfree.data.xy.XYIntervalSeriesCollection,312.0,192.0,0.61538464,26.0,0.02366864
java/org/jfree/chart/swing/editor/StrokeChooserPanel.java,org.jfree.chart.swing.editor.StrokeChooserPanel,51.0,28.0,0.54901963,2.0,0.27450982
java/org/jfree/chart/axis/Axis.java,org.jfree.chart.axis.Axis,1443.0,776.0,0.53776854,149.0,0.0036091849
java/org/jfree/chart/plot/PlotState.java,org.jfree.chart.plot.PlotState,23.0,14.0,0.6086956,1.0,0.6086956
java/org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,105.0,58.0,0.552381,8.0,0.06904762
